resultat image
apple-10.pgm 0.74978
apple-11.pgm 0.757389
apple-12.pgm 0.758751
apple-13.pgm 0.72766
apple-14.pgm 0.787685
apple-1.pgm 0.716484
apple-20.pgm 0.720787
apple-2.pgm 0.653585
apple-3.pgm 0.776216
apple-4.pgm 0.766078
apple-5.pgm 0.768037
apple-6.pgm 0.684174
apple-7.pgm 0.760179
apple-8.pgm 0.66245
apple-9.pgm 0.67919
bat-10.pgm 1.79961
bat-11.pgm 1.80324
bat-12.pgm 1.17777
bat-13.pgm 1.17978
bat-14.pgm 1.35923
bat-1.pgm 1.19616
bat-20.pgm 1.19606
bat-2.pgm 1.45537
bat-3.pgm 1.45487
bat-4.pgm 1.19787
bat-5.pgm 1.19754
bat-6.pgm 1.52644
bat-7.pgm 1.53002
bat-8.pgm 1.18114
bat-9.pgm 1.18336
beetle-10.pgm 1.2747
beetle-11.pgm 1.21741
beetle-12.pgm 1.22046
beetle-13.pgm 1.1234
beetle-14.pgm 1.15174
beetle-1.pgm 1.42342
beetle-20.pgm 1.43102
beetle-2.pgm 1.05268
beetle-3.pgm 0.902238
beetle-4.pgm 1.04791
beetle-5.pgm 1.03633
beetle-6.pgm 1.0379
beetle-7.pgm 1.14274
beetle-8.pgm 1.14127
beetle-9.pgm 1.37709
bell-10.pgm 0.828307
bell-11.pgm 0.837712
bell-12.pgm 0.837224
bell-13.pgm 0.877371
bell-14.pgm 0.87761
bell-1.pgm 0.790897
bell-20.pgm 0.899001
bell-2.pgm 0.778718
bell-3.pgm 0.821156
bell-4.pgm 0.838188
bell-5.pgm 0.805805
bell-6.pgm 0.865294
bell-7.pgm 0.864622
bell-8.pgm 0.862929
bell-9.pgm 0.862396
bird-10.pgm 1.02305
bird-11.pgm 1.04231
bird-12.pgm 1.0538
bird-13.pgm 1.04278
bird-14.pgm 0.991192
bird-1.pgm 1.06121
bird-20.pgm 1.16441
bird-2.pgm 1.05418
bird-3.pgm 1.01446
bird-4.pgm 1.0143
bird-5.pgm 0.955537
bird-6.pgm 0.956536
bird-7.pgm 1.09697
bird-8.pgm 1.09856
bird-9.pgm 1.03313
Bone-10.pgm 1.54808
Bone-11.pgm 1.63306
Bone-12.pgm 1.80175
Bone-13.pgm 1.52173
Bone-14.pgm 1.47781
Bone-1.pgm 1.55082
Bone-20.pgm 1.76636
Bone-2.pgm 1.46254
Bone-3.pgm 1.54049
Bone-4.pgm 1.54386
Bone-5.pgm 1.53976
Bone-6.pgm 1.52736
Bone-7.pgm 1.52269
Bone-8.pgm 1.54802
Bone-9.pgm 1.55432
bottle-01.pgm 1.34356
bottle-02.pgm 1.20734
bottle-03.pgm 1.23355
bottle-04.pgm 1.25609
bottle-05.pgm 1.32081
bottle-06.pgm 1.25775
bottle-07.pgm 1.42875
bottle-08.pgm 1.21832
bottle-09.pgm 1.36445
bottle-10.pgm 1.26861
bottle-11.pgm 1.32915
bottle-12.pgm 1.19392
bottle-13.pgm 1.31043
bottle-14.pgm 1.2095
bottle-20.pgm 1.3104
brick-01.pgm 0.967131
brick-02.pgm 0.920772
brick-03.pgm 0.903932
brick-04.pgm 1.00161
brick-05.pgm 0.911985
brick-06.pgm 0.961905
brick-07.pgm 0.909574
brick-08.pgm 1.01475
brick-09.pgm 0.883141
brick-10.pgm 1.02399
brick-11.pgm 0.93029
brick-12.pgm 1.02562
brick-13.pgm 0.880892
brick-14.pgm 0.983361
brick-20.pgm 1.02609
butterfly-10.pgm 1.0553
butterfly-11.pgm 1.05806
butterfly-12.pgm 0.844079
butterfly-13.pgm 0.846348
butterfly-14.pgm 0.946557
butterfly-1.pgm 1.01121
butterfly-20.pgm 0.996014
butterfly-2.pgm 1.01142
butterfly-3.pgm 0.924452
butterfly-4.pgm 0.925168
butterfly-5.pgm 0.827705
butterfly-6.pgm 0.83141
butterfly-7.pgm 0.990208
butterfly-8.pgm 0.989871
butterfly-9.pgm 0.996014
camel-10.pgm 0.893597
camel-11.pgm 0.828967
camel-12.pgm 0.872634
camel-13.pgm 0.761354
camel-14.pgm 0.956833
camel-1.pgm 0.84916
camel-20.pgm 0.828097
camel-2.pgm 0.952674
camel-3.pgm 0.975903
camel-4.pgm 0.889546
camel-5.pgm 1.02207
camel-6.pgm 0.886074
camel-7.pgm 0.829899
camel-8.pgm 0.849031
camel-9.pgm 0.823596
car-01.pgm 0.893335
car-02.pgm 0.956355
car-03.pgm 0.937956
car-04.pgm 0.904403
car-05.pgm 0.914037
car-06.pgm 0.90831
car-07.pgm 0.898601
car-08.pgm 0.89029
car-09.pgm 0.909183
car-10.pgm 0.885398
car-11.pgm 0.896351
car-12.pgm 0.887152
car-13.pgm 0.890406
car-14.pgm 0.868346
car-20.pgm 0.930562
carriage-01.pgm 1.20332
carriage-02.pgm 1.20765
carriage-03.pgm 1.19168
carriage-04.pgm 1.23864
carriage-05.pgm 1.23184
