resultat image
apple-10.pgm 0.513618
apple-11.pgm 0.471724
apple-12.pgm 0.538569
apple-13.pgm 0.511498
apple-14.pgm 0.515588
apple-1.pgm 0.54114
apple-20.pgm 0.536227
apple-2.pgm 0.538117
apple-3.pgm 0.49552
apple-4.pgm 0.479742
apple-5.pgm 0.49411
apple-6.pgm 0.530919
apple-7.pgm 0.544755
apple-8.pgm 0.504949
apple-9.pgm 0.508147
bat-10.pgm 0.33089
bat-11.pgm 0.352376
bat-12.pgm 0.321311
bat-13.pgm 0.311719
bat-14.pgm 0.32365
bat-1.pgm 0.317373
bat-20.pgm 0.290647
bat-2.pgm 0.297117
bat-3.pgm 0.318596
bat-4.pgm 0.289021
bat-5.pgm 0.295589
bat-6.pgm 0.297436
bat-7.pgm 0.306449
bat-8.pgm 0.335411
bat-9.pgm 0.318063
beetle-10.pgm 0.310524
beetle-11.pgm 0.365124
beetle-12.pgm 0.383849
beetle-13.pgm 0.348914
beetle-14.pgm 0.399697
beetle-1.pgm 0.296322
beetle-20.pgm 0.284692
beetle-2.pgm 0.310683
beetle-3.pgm 0.427751
beetle-4.pgm 0.377526
beetle-5.pgm 0.409175
beetle-6.pgm 0.40047
beetle-7.pgm 0.279229
beetle-8.pgm 0.302498
beetle-9.pgm 0.303901
bell-10.pgm 0.485739
bell-11.pgm 0.456846
bell-12.pgm 0.456846
bell-13.pgm 0.450763
bell-14.pgm 0.450763
bell-1.pgm 0.509916
bell-20.pgm 0.444794
bell-2.pgm 0.467134
bell-3.pgm 0.4461
bell-4.pgm 0.450375
bell-5.pgm 0.481448
bell-6.pgm 0.452097
bell-7.pgm 0.452097
bell-8.pgm 0.448578
bell-9.pgm 0.448578
bird-10.pgm 0.294715
bird-11.pgm 0.320823
bird-12.pgm 0.319527
bird-13.pgm 0.347686
bird-14.pgm 0.416278
bird-1.pgm 0.338975
bird-20.pgm 0.356324
bird-2.pgm 0.419863
bird-3.pgm 0.295555
bird-4.pgm 0.308888
bird-5.pgm 0.326251
bird-6.pgm 0.292884
bird-7.pgm 0.431128
bird-8.pgm 0.354726
bird-9.pgm 0.326038
Bone-10.pgm 0.311032
Bone-11.pgm 0.220226
Bone-12.pgm 0.243082
Bone-13.pgm 0.276924
Bone-14.pgm 0.401047
Bone-1.pgm 0.280745
Bone-20.pgm 0.256909
Bone-2.pgm 0.270988
Bone-3.pgm 0.225014
Bone-4.pgm 0.267323
Bone-5.pgm 0.286845
Bone-6.pgm 0.277114
Bone-7.pgm 0.276907
Bone-8.pgm 0.279552
Bone-9.pgm 0.239495
bottle-01.pgm 0.306426
bottle-02.pgm 0.322349
bottle-03.pgm 0.280875
bottle-04.pgm 0.313598
bottle-05.pgm 0.294689
bottle-06.pgm 0.292684
bottle-07.pgm 0.29978
bottle-08.pgm 0.314121
bottle-09.pgm 0.298556
bottle-10.pgm 0.296287
bottle-11.pgm 0.32924
bottle-12.pgm 0.294437
bottle-13.pgm 0.314591
bottle-14.pgm 0.316177
bottle-20.pgm 0.316911
brick-01.pgm 0.319279
brick-02.pgm 0.355601
brick-03.pgm 0.349802
brick-04.pgm 0.340107
brick-05.pgm 0.331274
brick-06.pgm 0.33403
brick-07.pgm 0.3691
brick-08.pgm 0.345277
brick-09.pgm 0.344263
brick-10.pgm 0.287821
brick-11.pgm 0.352976
brick-12.pgm 0.324715
brick-13.pgm 0.342146
brick-14.pgm 0.320434
brick-20.pgm 0.316241
butterfly-10.pgm 0.172547
butterfly-11.pgm 0.16322
butterfly-12.pgm 0.301475
butterfly-13.pgm 0.327854
butterfly-14.pgm 0.341943
butterfly-1.pgm 0.14638
butterfly-20.pgm 0.178389
butterfly-2.pgm 0.14638
butterfly-3.pgm 0.251575
butterfly-4.pgm 0.261009
butterfly-5.pgm 0.323213
butterfly-6.pgm 0.340451
